523777.66557, 3,   0.776,  0.220, 10.630
523777.67540, 3,   0.948,  0.373, 10.736
523777.68547, 3,   0.852,  0.460, 10.554
523777.69542, 3,   0.402,  0.536, 10.285
523777.70561, 3,   0.096,  0.565, 10.113
523777.71541, 3,  -0.115,  0.498, 10.075
523777.72548, 3,  -0.124,  0.431, 10.113
523777.73543, 3,  -0.364,  0.517, 10.056
523777.74547, 3,  -1.006,  0.709, 10.113
523777.75548, 3,  -1.389,  0.804, 10.104
523777.76536, 3,  -1.992,  0.852, 10.142
523777.77543, 3,  -2.337,  0.776, 10.161
523777.78538, 3,  -2.978,  0.613, 10.573
523777.79542, 3,  -3.294,  0.412, 10.803
523777.80543, 3,  -3.879,  0.048, 10.975
523777.81553, 3,  -4.683, -0.795, 10.985
523777.82548, 3,  -5.296, -1.599, 10.630
523777.83546, 3,  -5.947, -2.595, 10.372
523777.84553, 3,  -6.129, -3.227, 10.362
523777.85548, 3,  -6.311, -3.994, 10.573
523777.86540, 3,  -6.426, -4.357, 10.783
523777.87541, 3,  -6.397, -4.721, 10.946
523777.88539, 3,  -6.196, -5.085, 10.898
523777.89549, 3,  -5.660, -5.478, 10.716
523777.90538, 3,  -4.970, -5.689, 10.515
523777.91542, 3,  -4.463, -5.717, 10.228
523777.92540, 3,  -3.553, -5.679, 10.065
523777.93541, 3,  -3.103, -5.612,  9.596
523777.94539, 3,  -2.500, -5.689,  8.619
523777.95543, 3,  -2.049, -5.746,  8.351
523777.96541, 3,  -0.891, -5.602,  8.562
523777.97542, 3,  -0.201, -5.171,  8.753
523777.98539, 3,   0.402, -4.712,  8.839
523777.99540, 3,   0.431, -4.300,  8.016
523778.00545, 3,   0.412, -4.453,  6.962
523778.01539, 3,   0.661, -5.009,  6.033
523778.02543, 3,   1.207, -5.344,  6.005
523778.03538, 3,   2.241, -5.286,  6.713
523778.04539, 3,   2.844, -4.846,  7.451
523778.05540, 3,   3.438, -4.204,  8.217
523778.06538, 3,   3.984, -3.677,  8.303
523778.07542, 3,   4.338, -3.266,  8.131
523778.08540, 3,   4.913, -2.662,  8.294
523778.09541, 3,   5.047, -2.231,  8.715
523778.10545, 3,   4.846, -1.494,  9.098
523778.11543, 3,   4.884, -1.188,  9.682
523778.12544, 3,   5.143, -0.833, 10.036
523778.13539, 3,   5.200, -0.661,  9.826
523778.14540, 3,   5.191, -0.488, 10.008
523778.15541, 3,   5.545, -0.029, 11.272
523778.16539, 3,   5.746,  0.383, 12.124
523778.17540, 3,   6.158,  0.986, 12.699
523778.18538, 3,   6.512,  1.437, 12.756
523778.19542, 3,   6.800,  1.877, 12.258
523778.20546, 3,   6.723,  1.992, 11.961
523778.21544, 3,   6.704,  1.829, 12.201
523778.22539, 3,   6.608,  1.446, 13.015
523778.23543, 3,   6.244,  1.216, 13.973
523778.24540, 3,   5.545,  1.120, 14.298
523778.25538, 3,   5.420,  1.322, 14.164
523778.26542, 3,   5.660,  1.944, 13.264
523778.27540, 3,   5.746,  2.193, 12.699
523778.28538, 3,   5.363,  2.413, 12.258
523778.29539, 3,   4.310,  2.126, 11.923
523778.30543, 3,   3.160,  1.753, 11.885
523778.31541, 3,   1.264,  1.226, 11.952
523778.32542, 3,  -0.038,  1.025, 12.287
523778.33546, 3,  -1.628,  0.804, 12.526
523778.34541, 3,  -2.653,  0.527, 12.890
523778.35539, 3,  -4.501, -0.000, 13.762
523778.36540, 3,  -5.689, -0.287, 14.538
523778.37541, 3,  -6.838, -0.804, 15.141
523778.38539, 3,  -7.767, -1.609, 15.093
523778.39540, 3,  -8.993, -2.040, 14.892
523778.40547, 3, -10.113, -2.931, 14.672
523778.41539, 3, -10.879, -3.572, 14.547
523778.42546, 3, -12.191, -4.415, 13.877
523778.43541, 3, -12.440, -5.047, 12.613
523778.44539, 3, -12.201, -6.081, 11.722
523778.45543, 3, -12.354, -6.742, 10.716
523778.46541, 3, -12.364, -7.106, 10.487
523778.47539, 3, -12.507, -7.585, 10.257
523778.48539, 3, -12.680, -7.891, 10.199
523778.49537, 3, -12.383, -8.686, 10.190
523778.50541, 3, -11.971, -9.117, 10.142
523778.51542, 3, -10.908, -9.529,  9.960
523778.52540, 3,  -9.529, -9.471,  9.855
523778.53557, 3,  -8.552, -9.002,  9.548
523778.54539, 3,  -7.585, -8.590,  9.069
523778.55540, 3,  -6.235, -8.313,  7.939
523778.56541, 3,  -4.827, -7.700,  6.551
523778.57539, 3,  -3.946, -7.259,  5.602
523778.58540, 3,  -2.298, -6.579,  4.654
523778.59538, 3,  -1.092, -6.053,  4.128
523778.60545, 3,   0.804, -5.248,  3.926
523778.61540, 3,   1.982, -4.683,  4.108
523778.62550, 3,   3.208, -3.869,  5.085
523778.63536, 3,   4.319, -3.007,  5.947
523778.64540, 3,   4.980, -2.528,  7.614
523778.65541, 3,   5.861, -1.781,  9.548
523778.66539, 3,   6.436, -1.092, 10.870
523778.67540, 3,   7.049, -0.192, 12.354
523778.68541, 3,   7.326,  0.306, 12.977
523778.69539, 3,   7.566,  0.891, 13.666
523778.70555, 3,   7.479,  1.523, 14.222
523778.71541, 3,   7.326,  2.030, 14.787
523778.72557, 3,   7.049,  2.816, 14.815
523778.73539, 3,   6.723,  3.151, 14.547
523778.74540, 3,   6.005,  3.074, 13.791
523778.75535, 3,   5.171,  2.614, 13.072
523778.76542, 3,   3.946,  1.915, 11.827
523778.77540, 3,   3.218,  1.513, 11.100
523778.78538, 3,   2.279,  0.814, 10.113
523778.79539, 3,   1.571,  0.373,  9.759
523778.80543, 3,   1.092,  0.172,  9.778
523778.81541, 3,   0.488, -0.000, 10.113
523778.82560, 3,   0.249, -0.105, 10.295
523778.83540, 3,   0.077, -0.172, 10.582
523778.84535, 3,  -0.144, -0.335, 10.563
523778.85536, 3,  -0.498, -0.536, 10.420
523778.86543, 3,  -0.699, -0.900, 10.429
523778.87538, 3,  -0.824, -1.101, 10.726
523778.88536, 3,  -0.891, -0.958, 11.272
523778.89540, 3,  -0.881, -0.709, 11.818
523778.90547, 3,  -0.900, -0.373, 11.665
523778.91542, 3,  -0.910, -0.220, 11.521
523778.92561, 3,  -0.804, -0.259, 11.425
523778.93544, 3,  -1.753,  0.967, 10.276
523778.94539, 3,  -1.571,  0.881,  6.091
523778.95543, 3,  -1.006, -0.632,  5.756
523778.96541, 3,  -1.494, -1.120,  8.102
523778.97539, 3,  -1.695, -0.967,  9.969
523778.98539, 3,  -2.049, -0.508, 10.429
523778.99544, 3,  -2.002, -0.192, 10.420
523779.00548, 3,  -1.599, -0.067, 10.084
523779.01542, 3,  -1.207,  0.259,  9.414
523779.02543, 3,  -1.130,  0.603,  8.964
523779.03554, 3,  -0.996,  0.680,  8.562
523779.04539, 3,  -0.852,  0.804,  8.456
523779.05543, 3,  -0.824,  0.862,  8.782
523779.06541, 3,  -0.661,  0.948,  9.280
